Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric_small_pads,93.905,-65.12,90.0,top
C2,10u,C_0805_2012Metric,110.805183,-56.746434,0.0,top
C3,4.7u,C_0402_1005Metric_small_pads,95.4,-63.1,-90.0,top
C4,100n,C_0402_1005Metric,110.005183,-60.096434,90.0,top
C5,4.7u,C_0402_1005Metric,92.605,-63.12,-90.0,top
C6,4.7u,C_0402_1005Metric,109.005183,-60.096434,90.0,top
C7,100n,C_0402_1005Metric,108.005183,-60.096434,90.0,top
C8,100n,C_0402_1005Metric,103.5,-62.0,180.0,top
C9,100n,C_0402_1005Metric,107.0,-57.7,180.0,top
C10,100n,C_0402_1005Metric,108.555183,-61.646434,0.0,top
C12,100n,C_0402_1005Metric,114.2,-68.3,0.0,top
C13,100n,C_0402_1005Metric,112.455183,-75.696434,90.0,top
C14,100n,C_0402_1005Metric,107.0,-56.7,180.0,top
C15,15p,C_0402_1005Metric,114.235183,-58.046434,90.0,top
C16,15p,C_0402_1005Metric,113.885183,-63.956434,0.0,top
C17,100n,C_0402_1005Metric,93.6,-67.9,-90.0,top
C19,10u,C_0805_2012Metric,94.055183,-54.096434,90.0,top
C21,10u,C_0805_2012Metric,96.005183,-58.496434,90.0,top
J1,Conn_01x10_Pin,Custom_Harwin_M20-89010xx_1x10_P2.54mm_Horizontal,103.555183,-85.125,270.0,bottom
J2,Conn_01x10_Pin,Custom_Harwin_M20-89010xx_1x10_P2.54mm_Horizontal,103.555183,-85.125,-90.0,top
L1,3.3u,L_pol_2016,98.018156,-61.7,90.0,top
P1,USB_C_Plug_USB2.0,USB_C_Plug_Molex_105444,103.555183,-54.146434,0.0,top
R1,33,R_0402_1005Metric,94.1,-61.5,-90.0,top
R2,27,R_0402_1005Metric,98.4,-65.4,0.0,top
R3,27,R_0402_1005Metric,99.5,-64.4,0.0,top
R4,5.1k,R_0603_1608Metric,99.705183,-57.546434,180.0,top
R5,DNF,R_0402_1005Metric,94.7,-67.9,-90.0,top
R6,0,R_0402_1005Metric,96.61,-74.2,180.0,top
R7,DNF,R_0402_1005Metric,94.6,-74.2,0.0,top
R8,1k,R_0402_1005Metric,114.3,-65.6,90.0,top
U1,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,106.755183,-66.796434,90.0,top
U2,W25Q128JVS,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm,98.005183,-69.996434,90.0,top
U4,AP2127K-3.3,SOT-23-5,93.117683,-58.346434,-90.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,113.135183,-61.576434,180.0,top
